SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Throughput,URL,Status,APN
4294967302,4294967299,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:52,ZONA17_LAMONGAN_DT,,NCM30100884,3053.528,https://www.detik.com,Successful,internet
8589934598,8589934595,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:52,ZONA17_LAMONGAN_DT,,NCM30100884,8679.096,https://www.detik.com,Successful,Smartfren4G
12884901894,12884901891,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:49,ZONA17_LAMONGAN_DT,,NCM30100884,4465.016,https://www.detik.com,Successful,internet
17179869190,17179869187,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:12:52,ZONA17_LAMONGAN_DT,,NCM30100884,33.568,https://www.detik.com,Failed,internet
107374182406,107374182403,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:52,ZONA17_LAMONGAN_DT,,NCM30100884,6729.168,https://www.detik.com,Successful,internet
111669149702,111669149699,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:48,ZONA17_LAMONGAN_DT,,NCM30100884,9039.96,https://www.detik.com,Successful,Smartfren4G
115964116998,115964116995,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:48,ZONA17_LAMONGAN_DT,,NCM30100884,5632.592,https://www.detik.com,Successful,internet
120259084294,120259084291,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:31:55,ZONA17_LAMONGAN_DT,,NCM30100884,42.768,https://www.detik.com,Failed,internet
210453397510,210453397507,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:51,ZONA17_LAMONGAN_DT,,NCM30100884,9285.776,https://www.detik.com,Successful,internet
214748364806,214748364803,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:48,ZONA17_LAMONGAN_DT,,NCM30100884,1067.192,https://www.detik.com,Successful,Smartfren4G
219043332102,219043332099,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:50,ZONA17_LAMONGAN_DT,,NCM30100884,7370.72,https://www.detik.com,Successful,internet
223338299398,223338299395,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:50:55,ZONA17_LAMONGAN_DT,,NCM30100884,37.608,https://www.detik.com,Failed,internet
