SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,,Host,Status,URICount
4294967306,4294967301,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:13:48,ZONA17_LAMONGAN_DT,,NCM30100884,27246.816,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
4294967308,4294967302,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:19,ZONA17_LAMONGAN_DT,,NCM30100884,16437.336,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
8589934602,8589934597,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:13:37,ZONA17_LAMONGAN_DT,,NCM30100884,21543.512,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
8589934604,8589934598,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:07,ZONA17_LAMONGAN_DT,,NCM30100884,7370.184,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
12884901898,12884901893,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:13:49,ZONA17_LAMONGAN_DT,,NCM30100884,4200.296,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
12884901900,12884901894,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:19,ZONA17_LAMONGAN_DT,,NCM30100884,12379.432,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
17179869194,17179869189,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:55,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,http://file.swissqual.rocks/kominfo/500MB.dat,Failed,1
17179869196,17179869190,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:58,ZONA17_LAMONGAN_DT,,NCM30100884,1792.256,http://103.102.153.214/put-XL_V1_BP15,Failed,1
107374182410,107374182405,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:32:47,ZONA17_LAMONGAN_DT,,NCM30100884,18352.136,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
107374182412,107374182406,Telkomsel,Telkomsel,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:17,ZONA17_LAMONGAN_DT,,NCM30100884,27971.168,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
111669149706,111669149701,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:32:42,ZONA17_LAMONGAN_DT,,NCM30100884,11956.872,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
111669149708,111669149702,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:12,ZONA17_LAMONGAN_DT,,NCM30100884,1917.928,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
115964117002,115964116997,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:32:44,ZONA17_LAMONGAN_DT,,NCM30100884,3298.512,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
115964117004,115964116998,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:15,ZONA17_LAMONGAN_DT,,NCM30100884,18017.336,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
120259084298,120259084293,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:51,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,http://file.swissqual.rocks/kominfo/500MB.dat,Failed,1
120259084300,120259084294,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:34:21,ZONA17_LAMONGAN_DT,,NCM30100884,508.088,http://103.102.153.214/put-XL_V1_BP15,Successful,1
210453397514,210453397509,Telkomsel,Telkomsel,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:51:55,ZONA17_LAMONGAN_DT,,NCM30100884,16883.624,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
210453397516,210453397510,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:25,ZONA17_LAMONGAN_DT,,NCM30100884,8838.776,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
214748364810,214748364805,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:17,ZONA17_LAMONGAN_DT,,NCM30100884,6856.136,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
214748364812,214748364806,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:48,ZONA17_LAMONGAN_DT,,NCM30100884,709.696,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
219043332106,219043332101,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:51:40,ZONA17_LAMONGAN_DT,,NCM30100884,10796.752,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
219043332108,219043332102,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:11,ZONA17_LAMONGAN_DT,,NCM30100884,21119.792,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
223338299402,223338299397,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:52,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,http://file.swissqual.rocks/kominfo/500MB.dat,Failed,1
223338299404,223338299398,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:53:22,ZONA17_LAMONGAN_DT,,NCM30100884,765.392,http://103.102.153.214/put-XL_V1_BP15,Successful,1
313532612618,313532612613,Telkomsel,Telkomsel,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:10:48,ZONA17_LAMONGAN_DT,,NCM30100884,12295.12,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
313532612620,313532612614,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:18,ZONA17_LAMONGAN_DT,,NCM30100884,4492.704,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
317827579914,317827579909,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:03,ZONA17_LAMONGAN_DT,,NCM30100884,32080.888,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
317827579916,317827579910,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:34,ZONA17_LAMONGAN_DT,,NCM30100884,2443.344,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
322122547210,322122547205,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:10:43,ZONA17_LAMONGAN_DT,,NCM30100884,20853.392,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
322122547212,322122547206,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:14,ZONA17_LAMONGAN_DT,,NCM30100884,10311.64,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
326417514506,326417514501,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:50,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,http://file.swissqual.rocks/kominfo/500MB.dat,Failed,1
