ASideFileName,TestDescription,CollectionName,CampaignName,UserName,CallingModule,ASideDevice,ASideNumber,ASideLocation,Region,JobName,TestName,SessionId,TestId,MsgDateTime,Date,Time,Test Type,Source,Cid,LAC,Operator,Technology,Player,URL,VideoResolution,DisplayResolution,Container,VideoServer,VQ Series,SessionQuality,TestQualityAvg,TestQualityMin,TestQualityMax,Freezing,,Status,StatusOk,StatusFailed,,Jerkiness,Blurring,Tiling
2022-03-15-22-12-12-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,4294967300,4294967298,2022-03-15 22:12:26.758,15.03.2022,22:12:26,YouTube Video Streaming,YouTube,54818829.0,6312.0,Telkomsel,LTE E-UTRA 1,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.78.106.166,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,1.055,0.10000000149011612,,
2022-03-15-22-12-12-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,8589934596,8589934594,2022-03-15 22:12:26.671,15.03.2022,22:12:26,YouTube Video Streaming,YouTube,,,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,142.250.4.136,NR,1.0,3.299999952316284,2.5,3.799999952316284,0.0,0.0,ok,1,0,1.18,0.10000000149011612,,
2022-03-15-22-12-12-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,12884901892,12884901890,2022-03-15 22:12:23.451,15.03.2022,22:12:23,YouTube Video Streaming,YouTube,,54056.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,114.5.10.15,NR,1.0,3.5,2.5999999046325684,3.9000000953674316,0.0,0.0,ok,1,0,0.715,0.10000000149011612,,
2022-03-15-22-12-12-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,17179869188,17179869186,2022-03-15 22:12:28.021,15.03.2022,22:12:28,YouTube Video Streaming,YouTube,138974212.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.11.121.78,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,1.102,0.10000000149011612,,
2022-03-15-22-31-12-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,107374182404,107374182402,2022-03-15 22:31:26.074,15.03.2022,22:31:26,YouTube Video Streaming,YouTube,54799125.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,10.78.106.166,NR,1.0,3.299999952316284,2.5,3.799999952316284,0.0,0.0,ok,1,0,1.225,0.10000000149011612,,
2022-03-15-22-31-12-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,111669149700,111669149698,2022-03-15 22:31:24.036,15.03.2022,22:31:24,YouTube Video Streaming,YouTube,77005845.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,432 * 240,,100.70.106.0,NR,1.0,2.299999952316284,2.200000047683716,2.5,0.0,0.0,ok,1,0,0.74,0.10000000149011612,,
2022-03-15-22-31-12-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,115964116996,115964116994,2022-03-15 22:31:23.877,15.03.2022,22:31:23,YouTube Video Streaming,YouTube,11074818.0,32141.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,74.125.200.93,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,0.684,0.10000000149011612,,
2022-03-15-22-31-12-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,120259084292,120259084290,2022-03-15 22:31:30.182,15.03.2022,22:31:30,YouTube Video Streaming,YouTube,139064069.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.11.121.78,NR,1.0,3.5,2.5,3.799999952316284,0.0,0.0,ok,1,0,1.46,0.10000000149011612,,
2022-03-15-22-50-12-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,210453397508,210453397506,2022-03-15 22:50:26.696,15.03.2022,22:50:26,YouTube Video Streaming,YouTube,54788107.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,432 * 240,,10.78.106.166,NR,1.0,2.299999952316284,2.200000047683716,2.5,0.0,0.0,ok,1,0,0.897,0.10000000149011612,,
2022-03-15-22-50-12-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,214748364804,214748364802,2022-03-15 22:50:24.148,15.03.2022,22:50:24,YouTube Video Streaming,YouTube,76820492.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,432 * 240,,100.70.106.0,NR,1.0,2.299999952316284,2.200000047683716,2.5,0.0,0.0,ok,1,0,0.931,0.10000000149011612,,
