"CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChnPCI"
"29978135","4100","510","10","Telkomsel","29978135-10-510","LTE E-UTRA 1","105.216114","-4.960026","17179869185","0","17179869185","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:48:21.496","17179869185","4",,,"105.216114","-4.960026",,"105.216114","-4.960026",,"105.216114","-4.960026",,,,,,,,,"     -96.0","0","251 262"
"15891976","21107","510","1","Indosat Ooredoo","15891976-1-510","LTE E-UTRA 1","105.216114","-4.960027","21474836481","0","21474836481","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:48:25.507","21474836481","5",,,"105.216114","-4.960027",,"105.216114","-4.960027",,"105.216114","-4.960027",,,,,,,,,"     -98.0","5","525 273"
,"1608","510","9","Smartfren",,"LTE E-UTRA 40","105.216114","-4.960027","30064771073","0","30064771073","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:48:22.521","30064771073","7",,,"105.216114","-4.960027",,"105.216114","-4.960027",,"105.216114","-4.960027",,,,,,,,,"     -82.0","0","39050 172"
"74260485","29005","510","11","XL","74260485-11-510","LTE E-UTRA 3","105.216133","-4.960013","38654705665","0","38654705665","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:45:23.051","38654705665","9",,,"105.216133","-4.960013",,"105.216133","-4.960013",,"105.216133","-4.960013",,,,,,,,,"     -77.0","1","1325 133"
"29978133","4100","510","10","Telkomsel","29978133-10-510","LTE E-UTRA 3","105.216133","-4.960013","51539607553","0","51539607553","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:45:20.211","51539607553","12",,,"105.216133","-4.960013",,"105.216133","-4.960013",,"105.216133","-4.960013",,,,,,,,,"     -94.0","0","1850 262"
"15891976","21107","510","1","Indosat Ooredoo","15891976-1-510","LTE E-UTRA 1","105.216133","-4.960013","60129542145","0","60129542145","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:45:25.148","60129542145","14",,,"105.216133","-4.960013",,"105.216133","-4.960013",,"105.216133","-4.960013",,,,,,,,,"     -94.0","3","525 273"
"15891976","21107","510","1","Indosat Ooredoo","15891976-1-510","LTE E-UTRA 1","105.217129","-4.966712","90194313217","0","90194313217","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:42:25.492","90194313217","21",,,"105.217129","-4.966712",,"105.217129","-4.966712",,"105.217129","-4.966712",,,,,,,,,"     -99.3","1","525 273"
,,"510","11","XL",,"LTE E-UTRA 3","105.197351","-4.98338","107374182401","0","107374182401","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:56:53.185","107374182401","25",,,"105.197351","-4.98338",,"105.197351","-4.98338",,"105.197351","-4.98338",,,,,,,,,"    -103.5","0","1325 455"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.197351","-4.98338","137438953473","0","137438953473","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:56:49.988","137438953473","32",,,"105.197351","-4.98338",,"105.197351","-4.98338",,"105.197351","-4.98338",,,,,,,,,"    -102.0","0","39050 29"
"74362630","29005","510","11","XL","74362630-11-510","LTE E-UTRA 3","105.197368","-4.983422","146028888065","0","146028888065","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:53:53.41","146028888065","34",,,"105.197368","-4.983422",,"105.197368","-4.983422",,"105.197368","-4.983422",,,,,,,,,"    -102.0","0","1325 455"
